title,price,location,area
Apartment Buikslotermeerplein,"                €2,000 per month            ",            1025 XE Amsterdam (Buikslotermeer)        ,120 m²
Apartment Prinsengracht 10 3,"                €3,100 per month            ",            1015 DV Amsterdam (Jordaan)        ,125 m²
Apartment Van Ostadestraat 80 1,"                €1,650 per month            ",            1072 TB Amsterdam (Nieuwe Pijp)        ,60 m²
Apartment Nepveustraat 22 II,"                €1,600 per month            ",            1058 XP Amsterdam (Westindische Buurt)        ,49 m²
Apartment Pieter Oosterhuisstraat,"                €2,350 per month            ",            1087 HT Amsterdam (IJburg Zuid)        ,112 m²
Apartment Esplanade de Meer,"                €2,150 per month            ",            1098 WL Amsterdam (Middenmeer)        ,95 m²
Apartment Plantage Kerklaan,"                €2,750 per month            ",            1018 SX Amsterdam (Weesperbuurt/Plantage)        ,90 m²
Apartment Geldersekade,"                €2,800 per month            ",            1011 EL Amsterdam (Nieuwmarkt/Lastage)        ,85 m²
Apartment Looiersgracht 26 1,"                €2,500 per month            ",            1016 VS Amsterdam (Jordaan)        ,100 m²
Apartment Van Breestraat,"                €1,950 per month            ",            1071 ZW Amsterdam (Museumkwartier)        ,68 m²
Apartment Beethovenstraat 209,"                €1,950 per month            ",            1077 JE Amsterdam (Prinses Irenebuurt e.o.)        ,80 m²
Apartment Nijenburg 76,"                €1,600 per month            ",            1081 GG Amsterdam (Buitenveldert-West)        ,77 m²
Apartment Leksmondhof,"                €1,295 per month            ",            1108 EX Amsterdam (Nellestein)        ,64 m²
Apartment Wethouder Frankeweg,"                €4,000 per month            ",            1098 KZ Amsterdam (Middenmeer)        ,170 m²
Apartment Van Ostadestraat,"                €1,700 per month            ",            1073 TZ Amsterdam (Nieuwe Pijp)        ,50 m²
Apartment Kostverlorenstraat,"                €1,850 per month            ",            1052 GX Amsterdam (Frederik Hendrikbuurt)        ,63 m²
Apartment Valkenburgerstraat,"                €4,500 per month            ",            1011 MG Amsterdam (Nieuwmarkt/Lastage)        ,162 m²
Apartment Marnixstraat,"                €5,500 per month            ",            1016 TC Amsterdam (Jordaan)        ,143 m²
Apartment Egelantiersgracht,"                €2,150 per month            ",            1015 RR Amsterdam (Jordaan)        ,70 m²
Apartment Jan Hanzenstraat,"                €1,525 per month            ",            1053 ST Amsterdam (Kinkerbuurt)        ,58 m²
Apartment Valeriusstraat 219 2,"                €5,000 per month            ",            1075 EZ Amsterdam (Willemspark)        ,193 m²
Apartment Woestduinstraat,"                €1,850 per month            ",            1059 ST Amsterdam (Hoofddorppleinbuurt)        ,58 m²
Apartment Javastraat 39 3,"                €1,850 per month            ",            1094 GZ Amsterdam (Indische Buurt West)        ,71 m²
Apartment Van Ostadestraat 202 l,"                €2,000 per month            ",            1073 TS Amsterdam (Nieuwe Pijp)        ,61 m²
Apartment President Kennedyplantsoen,"                €1,650 per month            ",            1079 SK Amsterdam (Rijnbuurt)        ,50 m²
Room Eurokade,                €675 per month            ,            1060 RZ Amsterdam (Middelveldsche Akerpolder)        ,145 m²
Apartment Govert Flinckstraat,"                €1,725 per month            ",            1072 EM Amsterdam (Oude Pijp)        ,60 m²
Apartment Foeliestraat,"                €1,900 per month            ",            1011 TM Amsterdam (Nieuwmarkt/Lastage)        ,59 m²
Apartment Willem Kesstraat,"                €3,000 per month            ",            1077 KP Amsterdam (Prinses Irenebuurt e.o.)        ,111 m²
Apartment Overtoom,"                €1,750 per month            ",            1054 LH Amsterdam (Overtoomse Sluis)        ,65 m²
Apartment Van Boshuizenstraat,"                €1,850 per month            ",            1083 AP Amsterdam (Buitenveldert-Oost)        ,72 m²
Apartment Jisperveldstraat,"                €1,950 per month            ",            1024 AK Amsterdam (Waterlandpleinbuurt)        ,85 m²
